time_stamp,distance,price,surge_multiplier,id
1543360342060,0.98,7.0,1.0,555bfb4f-3b82-427e-a08b-2e921ee187fa
1543360343549,1.26,7.0,1.0,6a0fc28a-c998-4b5d-87f1-70bf20e297a8
1543360522173,4.53,13.5,1.0,95bdf2d7-6f37-490f-ad78-4f8d7e9c7190
1543360702022,1.25,9.0,1.25,e34aa07d-31ef-4a24-97b9-e49e9112a6f4
1543360702049,1.24,7.0,1.0,b4c965b4-46ec-439d-b3bc-1b1a3dd79f75
1543360703960,0.44,7.0,1.0,037d4ee4-4ad4-4fab-bb54-02d034b731a3
1543361063781,4.6,13.5,1.0,00971297-0988-4332-8ade-ff742afe1c98
1543361063802,1.29,7.0,1.0,f21d6e1f-3824-4f43-ad6a-6b73abf9f06c
1543361421910,3.4,11.0,1.0,27259857-f594-44b9-b5bf-300c510ee2a7
1543361422418,0.43,7.0,1.0,452a4918-545b-400a-b88c-3b4b0bb06fbe
1543361423264,5.36,13.5,1.0,6707f30e-257b-4ef7-981c-0397a7aee6da
1543361606768,1.23,7.0,1.0,99d22bc7-f1a1-432c-8d91-ec2e03f342c5
1543361781877,3.4,10.5,1.0,a9abffec-8efa-4f7b-92a3-aa70efebc40d
1543361962140,1.01,7.0,1.0,1b7b0f9d-55f2-4887-834a-0dbc4c87ba27
1543362142526,3.45,10.5,1.0,8c5e8bc0-bb58-46d5-9c8d-72f271f61d17
1543362322213,0.99,7.0,1.0,0d4f8910-4288-4197-8bc1-adc4922363fd
1543362322251,3.43,11.0,1.0,6a00f3c3-d563-4ce7-8f45-584aeda0cabc
1543362501985,3.16,13.5,1.0,7957d13a-8c18-473e-84a8-c241678dde00
1543362862538,4.52,13.5,1.0,e838bdb1-113a-48b3-8a3d-78c316829b78
1543363042315,4.6,13.5,1.0,11d4a31d-b968-45ae-99aa-39f2ce431d4a
1543363401932,1.03,7.0,1.0,44620344-c798-4c96-9826-fcb6e2bd639c
1543363402142,3.22,11.0,1.0,96389669-2a4c-4ec7-bef2-dc65d2cf9e8c
1543363762507,4.6,13.5,1.0,1e847d2d-a20d-4ace-8b98-15c21c8e6733
1543363942048,0.49,7.0,1.0,6c6b0c8f-74ee-463d-bf9b-64afef48636a
1543363943455,0.46,7.0,1.0,f3620419-adcc-4114-a4a9-705fa7e45088
1543364122375,5.39,16.5,1.0,3ce32542-e545-4068-aa14-2d3f740b1f12
1543364122546,4.16,13.5,1.0,fcb184f0-6697-4735-92c2-430ea6135adf
1543364123995,1.24,7.0,1.0,0f9ea296-343a-47fc-86d0-1506f130af7a
1543364482348,5.11,16.5,1.0,27e2377a-e02c-44c0-bab5-daa1a795bf8c
1543364662102,3.69,13.5,1.0,250f58bd-5bff-4b2c-8f51-365170647e87
1543364662211,3.35,10.5,1.0,8e3aa55d-bb9b-49aa-922e-9a159e767875
1543364842169,1.02,7.0,1.0,f5ffa2ae-90b5-4c94-a44a-11f061a6306e
1543365022345,3.45,13.5,1.25,e89100b6-2fc3-46ac-bd36-0e86f638ec44
1543365381989,5.14,16.5,1.0,169e6ab7-4b48-4df3-8347-6a80552619d2
1543365382672,3.43,10.5,1.0,d3cec276-31e6-47a3-ae0e-82dd3cdbd41e
1543365562241,0.45,7.0,1.0,ac503d2d-68b0-4ecb-a1ab-41317a201333
1543365922042,1.02,7.0,1.0,cc4f2e99-c048-4d13-8d39-d65215dacedd
1543365922118,4.55,19.5,1.5,960ed228-1f9c-4d09-be05-d4f1ed410843
1543365922382,3.46,13.5,1.0,05de7f80-2d57-462c-a76f-89a95ac5d60d
1543366462824,3.39,13.5,1.25,9eb86660-0ab8-4c1e-a529-3ea75fa0f4fd
1543366642311,0.48,7.0,1.0,8bf559a6-6459-4995-a6d8-907a5e9986e0
1543366642903,4.48,13.5,1.0,88a1ae71-5ae4-4a1f-9312-4cf95f9deb55
1543366822535,0.44,7.0,1.0,32ecd8c7-efdf-43d1-81f3-30d8d8b81edd
1543367182025,1.01,7.0,1.0,37625b15-b494-477d-b731-b03ab79e8e6a
1543367183652,3.76,13.5,1.0,d4cb8bd2-c336-44e6-bc97-4c380ac9dd90
1543367362287,3.41,11.0,1.0,e45d644e-da01-4d37-a919-83c50217cba6
1543367363555,0.45,7.0,1.0,5010c701-691a-4867-aabf-ca1a6b034603
1543390297680,1.0,7.0,1.0,97ebe2c2-a7a7-4094-afd2-5a6d042cad79
1543390475571,1.18,7.0,1.0,2b62f1bc-ce10-44f3-8224-6a788bf06663
1543391800539,5.37,16.5,1.0,9b2a9dd6-4cad-4a4f-878e-fc27b2c29aab
1543391800778,3.87,13.5,1.0,3bfbe894-3aff-497a-8409-19418a330b56
1543397532799,0.39,7.0,1.0,9477ddbf-c55f-41c2-a3f4-d0a9f5dd1a95
1543397533616,3.21,13.5,1.0,7e1a7364-c463-4097-9e88-72f7b720e7c7
1543397538389,4.51,13.5,1.0,7e948844-6f80-4b1a-8700-cf3273ba03ff
1543397678065,5.35,13.5,1.0,33b7f1fb-52e2-49a2-aab0-2ad8e2b4da7a
1543397707740,1.0,9.0,1.0,502478c5-742d-4767-bcb6-6b4bde8b3dc9
